Title,IMDb Rating,Year,Certificates,Director,Star Cast,Duration (minutes),Star Cast Lower,Star Cast List,Star Cast List Clean,Genres,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Reality-TV,Romance,Sci-Fi,Sport,Thriller,Western
hachi: a dog's tale,0.75,0.8518518518518519,G,lasse hallström,Richard Gere,0.17343173431734318,richard gere,['richard gere'],['richard gere'],"['Biography', 'Drama', 'Family']",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
oz the great and powerful,0.42857142857142866,0.8888888888888888,PG,sam raimi,James Franco,0.30996309963099633,james franco,['james franco'],['james franco'],"['Adventure', 'Family', 'Fantasy']",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
paddington ,0.6964285714285715,0.9259259259259259,PG,paul king,Ben Whishaw,0.21033210332103322,ben whishaw,['ben whishaw'],['ben whishaw'],"['Adventure', 'Comedy', 'Family']",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
the rocketeer,0.4821428571428572,0.6851851851851851,PG,joe johnston,Billy Campbell,0.22878228782287824,billy campbell,['billy campbell'],['billy campbell'],"['Action', 'Adventure', 'Family']",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
rookie of the year,0.3928571428571429,0.7037037037037037,PG,daniel stern,Thomas Ian Nicholas,0.21033210332103322,thomas ian nicholas,['thomas ian nicholas'],['thomas ian nicholas'],"['Comedy', 'Family', 'Fantasy']",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
heavyweights,0.4821428571428572,0.7222222222222222,PG,steven brill,"Tom Mc, Gowan",0.1881918819188192,"tom mc, gowan","['tom mc', 'gowan']","['tom mc', 'gowan']","['Comedy', 'Drama', 'Family']",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
paddington,0.6071428571428572,0.8981481481481481,PG,paul king,Hugh Bonneville,0.18081180811808117,hugh bonneville,['hugh bonneville'],['hugh bonneville'],"['Adventure', 'Comedy', 'Family']",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
secondhand lions,0.642857142857143,0.7962962962962963,PG,tim mccanlies,Haley Joel Osment,0.23247232472324725,haley joel osment,['haley joel osment'],['haley joel osment'],"['Comedy', 'Drama', 'Family']",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
shrek forever after,0.42857142857142866,0.861111111111111,PG,mike mitchell,Mike Myers,0.17343173431734318,mike myers,['mike myers'],['mike myers'],"['Animation', 'Adventure', 'Comedy']",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the mighty ducks,0.4821428571428572,0.6944444444444444,PG,stephen herek,Emilio Estevez,0.21402214022140223,emilio estevez,['emilio estevez'],['emilio estevez'],"['Comedy', 'Drama', 'Family']",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
onward,0.6250000000000002,0.9537037037037037,PG,dan scanlon,Tom Holland,0.2066420664206642,tom holland,['tom holland'],['tom holland'],"['Animation', 'Adventure', 'Comedy']",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
